OBJECTID,HoodName,HoodID,F2021_Population_Projection,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_2020,Assault_2021,Assault_Rate2014,Assault_Rate2015,Assault_Rate2016,Assault_Rate2017,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,Assault_Rate2021,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_2020,AutoTheft_2021,AutoTheft_Rate2014,AutoTheft_Rate2015,AutoTheft_Rate2016,AutoTheft_Rate2017,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,AutoTheft_Rate2021,BreakAndEnter_2014,BreakAndEnter_2015,BreakAndEnter_2016,BreakAndEnter_2017,BreakAndEnter_2018,BreakAndEnter_2019,BreakAndEnter_2020,BreakAndEnter_2021,BreakAndEnter_Rate2014,BreakAndEnter_Rate2015,BreakAndEnter_Rate2016,BreakAndEnter_Rate2017,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,BreakAndEnter_Rate2021,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_2020,Robbery_2021,Robbery_Rate2014,RobberyRate_2015,Robbery_Rate2016,Robbery_Rate2017,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,Robbery_Rate2021,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_2020,TheftOver_2021,TheftOver_Rate2014,TheftOver_Rate2015,TheftOver_Rate2016,TheftOver_Rate2017,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,TheftOver_Rate2021,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_2020,Homicide_2021,Homicide_Rate2014,Homicide_Rate2015,Homicide_Rate2016,Homicide_Rate2017,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Homicide_Rate2021,Shootings_2014,Shootings_2015,Shootings_2016,Shootings_2017,Shootings_2018,Shootings_2019,Shootings_2020,Shootings_2021,Shooting_Rate2014,Shootings_Rate2015,Shootings_Rate2016,Shootings_Rate2017,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020,Shootings_Rate2021,TheftfromMotorVehicle_2014,TheftfromMotorVehicle_2015,TheftfromMotorVehicle_2016,TheftfromMotorVehicle_2017,TheftfromMotorVehicle_2018,TheftfromMotorVehicle_2019,TheftfromMotorVehicle_2020,TheftfromMotorVehicle_2021,TheftfromMotorVehicle_Rate2014,TheftfromMotorVehicle_Rate2015,TheftfromMotorVehicle_Rate2016,TheftfromMotorVehicle_Rate2017,TheftfromMotorVehicle_Rate2018,TheftfromMotorVehicle_Rate2019,TheftfromMotorVehicle_Rate2020,TheftfromMotorVehicle_Rate2021,Shape__Area,Shape__Length
25,Cliffcrest,123,18107,81,99,110,119,138,136,111,97,497.3902,606.8408,671.5917,712.4468,809.3367,782.2386,626.5876,535.7044,19,13,10,18,23,19,19,31,116.6718,79.68616,61.05379,107.7651,134.8895,109.2833,107.2537,171.2045,42,58,59,36,53,46,36,31,257.906,355.5229,360.2173,215.5302,310.8322,264.5807,203.2176,171.2045,28,20,25,33,15,29,23,13,171.9374,122.5941,152.6345,197.5693,87.97138,166.8009,129.8335,71.79544,4,5,3,7,3,3,9,3,24.56248,30.64852,18.31614,41.90864,17.59428,17.25526,50.8044,16.56818,0,1,0,0,1,1,0,1,0,6.129704,0,0,5.864758,5.751754,0,5.522726018,0,2,0,0,1,1,2,1,0,12.25941,0,0,5.864758,5.751754,11.28987,5.522726018,39,56,62,71,65,107,88,73,239.4842,343.2635,378.5335,425.0733,381.2093,615.4377,496.7542,403.1589993,13776226.2070313,27614.6526808981
26,Flemingdon Park,044,23808,129,148,156,123,144,151,127,146,571.5552,655.9412,688.7722,538.6232,624.079,648.6533,540.3105,613.2393,8,7,4,12,8,8,16,17,35.44528,31.02424,17.66082,52.54861,34.67106,34.36574,68.07063,71.40457,50,20,14,12,14,16,11,10,221.533,88.64069,61.81289,52.54861,60.67435,68.73148,46.79855,42.00269,26,21,24,20,16,13,5,4,115.1972,93.07273,105.9649,87.58101,69.34212,55.84432,21.27207,16.80107,9,3,3,4,1,3,2,1,39.87594,13.2961,13.24562,17.5162,4.333882,12.88715,8.508828,4.200269,1,0,0,0,0,0,0,1,4.430660168,0,0,0,0,0,0,4.200268817,5,5,8,5,6,9,13,8,22.1533,22.16017,35.32165,21.89525,26.00329,38.66145,55.30738,33.60215054,111,16,46,16,25,17,27,34,491.8033,70.91256,203.0995,70.06481,108.3471,73.02719,114.8692,142.8091398,4737639.44921875,11740.2128744383
27,Corso Italia-Davenport,092,15306,74,88,71,94,93,93,89,119,511.3676,605.1021,485.1384,636.8564,624.2449,618.8448,587.8856,777.4729,16,10,8,13,11,16,14,23,110.566,68.7616,54.66348,88.07588,73.83541,106.4679,92.47639,150.2679,29,22,15,31,32,40,41,31,200.4008,151.2755,102.494,210.0271,214.7939,266.1698,270.8237,202.535,18,16,30,32,20,33,12,1,124.3867,110.0186,204.988,216.8022,134.2462,219.5901,79.26547,6.533386,2,4,2,3,5,6,6,4,13.82074,27.50464,13.66587,20.3252,33.56155,39.92547,39.63274,26.13354,0,1,0,0,0,0,1,0,0,6.87616,0,0,0,0,6.605456,0,0,0,1,2,0,1,4,0,0,0,6.832935,13.55014,0,6.654245,26.42182,0,26,36,27,23,36,40,45,23,179.6697,247.5418,184.4892,155.8266,241.6432,266.1698,297.2455,150.2678688,3605771.62890625,8404.33680232602
28,Ionview,125,14457,103,111,105,92,93,80,87,91,743.0385,795.2999,745.2623,649.9011,652.6316,558.1915,603.8731,629.4529,5,12,7,7,3,8,6,10,36.06983,85.97836,49.68415,49.449,21.05263,55.81915,41.64642,69.17065,33,45,17,29,19,19,15,18,238.0609,322.4189,120.6615,204.8601,133.3333,132.5705,104.1161,124.5072,23,17,9,14,8,12,2,4,165.9212,121.8027,63.87962,98.89799,56.14035,83.72872,13.88214,27.66826,1,5,4,1,1,2,0,3,7.213966,35.82432,28.39094,7.064142,7.017544,13.95479,0,20.75119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,7.213966,0,0,0,0,6.977393,6.94107,0,13,31,15,22,24,32,33,40,93.78156,222.1108,106.466,155.4111,168.4211,223.2766,229.0553,276.6825759,3743035.046875,8805.88365003979
29,Junction Area,090,15876,100,102,105,90,135,94,104,114,677.7823,688.8634,705.0292,597.5302,884.4919,608.5324,665.6852,718.065,25,25,20,22,38,31,36,26,169.4456,168.8391,134.2913,146.0629,248.9681,200.6862,230.4295,163.7692,33,33,33,46,63,43,50,43,223.6682,222.8676,221.5806,305.4043,412.7629,278.3712,320.041,270.8491,15,17,13,17,25,15,12,9,101.6673,114.8106,87.28933,112.8668,163.7948,97.10623,76.80983,56.68934,4,2,4,7,6,9,6,5,27.11129,13.50712,26.85826,46.47457,39.31075,58.26374,38.40491,31.49408,1,0,0,0,0,0,0,0,6.777822963,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,6.777823,6.753562,6.714564,0,0,12.9475,0,0,33,38,34,47,64,52,51,36,223.6682,256.6354,228.2952,312.0435,419.3147,336.6349,326.4418,226.7573696,5033809.19140625,10771.6949797721
30,Broadview North,057,12490,50,58,46,56,59,69,62,53,419.5687,488.1744,387.0425,466.9001,486.6381,563.0355,501.1316,424.3395,2,5,7,6,6,3,7,7,16.78275,42.084,58.89777,50.02501,49.48862,24.4798,56.57937,56.04483,14,21,16,24,8,25,25,18,117.4792,176.7528,134.6235,200.1001,65.98483,203.9984,202.0692,144.1153,11,5,11,5,7,5,3,10,92.30511,42.084,92.55364,41.68751,57.73672,40.79967,24.2483,80.06405,0,2,2,0,1,1,6,1,0,16.8336,16.82793,0,8.248103,8.159935,48.4966,8.006405,0,0,0,1,1,0,0,1,0,0,0,8.337502,0,0,0,8.006405124,0,0,1,1,1,0,0,1,0,0,8.413967,8.337502,8.248103,0,0,8.006405124,15,24,24,12,16,27,32,23,125.8706,202.0032,201.9352,100.05,131.9697,220.3182,258.6486,184.1473179,3341465.60546875,9933.02731779996
31,Princess-Rosethorn,010,12479,22,14,29,25,20,29,23,25,192.8471,123.2828,255.7996,215.9641,169.2907,240.285,187.1288,200.3366,21,20,24,19,21,28,20,23,184.0813,176.1183,211.6962,164.1327,177.7552,231.9993,162.7207,184.3096,34,29,33,29,22,33,12,11,298.0365,255.3716,291.0823,250.5183,186.2197,273.4278,97.63242,88.14809,17,3,34,6,4,14,9,2,149.0182,26.41775,299.903,51.83138,33.85814,115.9997,73.22431,16.02693,3,4,2,3,6,5,4,3,26.29733,35.22367,17.64135,25.91569,50.7872,41.42845,32.54414,24.04039,0,0,1,0,1,0,0,0,0,0,8.820676,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,8.820676,8.638562,8.464534,8.28569,8.136035,8.013462617,90,74,51,30,37,33,36,34,788.92,651.6379,449.8545,259.1569,313.1877,273.4278,292.8972,272.457729,9890208.58203125,15288.8724128729
32,North Riverdale,068,12708,35,57,48,55,54,71,31,54,282.2353,462.3621,390.8158,445.0198,434.2581,567.0927,246.325,424.9292,8,8,5,8,11,19,13,13,64.51093,64.89293,40.70998,64.73016,88.45999,151.7572,103.2976,102.2978,43,51,41,28,33,43,34,33,346.7462,413.6924,333.8218,226.5555,265.38,343.4505,270.1629,259.679,20,30,34,21,19,22,14,5,161.2773,243.3485,276.8279,169.9167,152.7945,175.7189,111.2435,39.34529,3,2,6,3,5,5,2,0,24.1916,16.22323,48.85198,24.27381,40.20909,39.9361,15.89193,0,0,0,1,1,2,0,0,0,0,0,8.141996,8.091269,0,0,0,0,0,0,2,1,2,2,0,1,0,0,16.28399,8.091269,16.08364,15.97444,0,7.869058861,46,42,48,38,32,52,36,32,370.9378,340.6879,390.8158,307.4682,257.3382,415.3354,286.0548,251.8098835,3416241.03125,7571.51153808993
33,Etobicoke West Mall,013,13309,43,60,47,52,45,50,63,46,362.441,499.2096,384.7413,418.6458,356.0408,389.1051,481.9461,345.6308,11,14,15,9,9,12,10,16,92.71747,116.4822,122.7898,72.45793,71.20817,93.38522,76.49939,120.2194,25,25,14,8,16,8,14,12,210.7215,208.004,114.6038,64.40705,126.5923,62.25681,107.0991,90.16455,10,5,4,5,4,11,10,3,84.2886,41.6008,32.74394,40.25441,31.64807,85.60311,76.49939,22.54114,0,3,0,4,3,6,7,3,0,24.96048,0,32.20353,23.73606,46.69261,53.54957,22.54114,1,0,1,0,0,2,1,0,8.428860418,0,8.185986,0,15.82404,15.5642,7.649939,0,1,4,2,1,3,3,6,0,8.428861,33.28064,16.37197,8.050881,23.73606,23.3463,45.89963,0,24,24,19,15,23,19,29,18,202.2926,199.6838,155.5337,120.7632,181.9764,147.8599,221.8482,135.2468255,3433822.79296875,8955.14409375261
34,Forest Hill North,102,13680,31,33,31,44,39,41,41,41,237.2752,251.9661,235.1692,331.3503,291.3056,303.9964,301.7368,299.7076,12,15,7,11,23,27,42,33,91.84845,114.53,53.10271,82.83756,171.7956,200.1928,309.0963,241.2281,38,36,19,46,42,38,45,13,290.8534,274.8721,144.1359,346.4116,313.7138,281.7528,331.1746,95.02924,8,6,9,9,16,22,16,2,61.2323,45.81202,68.27492,67.77619,119.51,163.12,117.751,14.61988,3,4,2,3,0,3,7,2,22.96211,30.54135,15.1722,22.59206,0,22.24364,51.51604,14.61988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7.469376,7.414547,0,7.30994152,36,16,13,39,34,32,57,38,275.5453,122.1654,98.61933,293.6968,253.9588,237.2655,419.4878,277.7777778,3004673.625,7873.53829302217
35,Glenfield-Jane Heights,025,33305,286,298,301,272,293,339,278,311,899.5408,944.5325,958.6598,855.8573,909.3166,1039.208,841.6336,933.7937,44,50,64,50,68,83,122,103,138.3909,158.4786,203.8346,157.3267,211.0359,254.4373,369.35,309.2629,36,36,30,42,38,36,50,40,113.2289,114.1046,95.54749,132.1544,117.9318,110.3584,151.373,120.1021,42,42,66,51,48,47,49,21,132.1004,133.122,210.2045,160.4732,148.9665,144.079,148.3455,63.0536,7,7,9,7,11,12,19,7,22.01673,22.187,28.66425,22.02574,34.13817,36.78612,57.52172,21.01787,0,0,1,3,0,2,1,5,0,0,3.184916,9.439602,6.206939,6.13102,3.027459,15.01276085,8,16,21,20,24,30,34,19,25.16198,50.71315,66.88324,62.93068,74.48327,91.9653,102.9336,57.04849122,78,46,88,59,80,73,138,95,245.3293,145.8003,280.2726,185.6455,248.2776,223.7822,417.7893,285.2424561,9874963.98046875,15837.7055683374
36,Greenwood-Coxwell,065,15594,103,132,96,75,118,122,117,103,696.652,889.9077,643.3885,498.2726,775.9074,795.2027,756.3026,660.5104,15,17,13,12,19,29,29,18,101.4542,114.6093,87.12553,79.72363,124.9342,189.0236,187.4596,115.429,48,34,62,33,38,48,41,38,324.6534,229.2186,415.5218,219.24,249.8685,312.8666,265.0291,243.6835,15,20,12,20,19,8,21,14,101.4542,134.8345,80.42356,132.8727,124.9342,52.14444,135.7466,89.77812,4,7,7,8,6,4,4,7,27.05445,47.19207,46.91375,53.14908,39.45292,26.07222,25.8565,44.88906,3,1,1,0,0,0,2,1,20.29083531,6.741724,6.701964,0,0,0,12.92825,6.412722842,2,2,2,1,0,5,3,3,13.52722,13.48345,13.40393,6.643635,0,32.59027,19.39237,19.23816853,51,63,59,36,66,100,98,58,344.9442,424.7286,395.4159,239.1709,433.9821,651.8055,633.4842,371.9379248,3204197.42578125,9467.81210208913
37,Guildwood,140,10783,51,38,44,44,47,30,35,36,503.853,375.2716,433.0709,427.9739,451.099,284.468,327.746,333.8589,2,0,4,5,2,3,11,13,19.75894,0,39.37008,48.6334,19.1957,28.4468,103.0059,120.5601,13,20,18,10,16,10,3,7,128.4331,197.5114,177.1654,97.2668,153.5656,94.82269,28.09252,64.917,16,6,8,10,5,7,3,4,158.0715,59.25341,78.74016,97.2668,47.98925,66.37588,28.09252,37.09543,1,2,1,4,1,1,1,0,9.879471,19.75113,9.84252,38.90672,9.59785,9.482268,9.364173,0,0,0,0,0,0,1,0,2,0,0,0,0,9.59785,9.482268,0,18.54771399,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.364173,0,23,59,31,40,28,28,34,33,227.2278,582.6585,305.1181,389.0672,268.7398,265.5035,318.3819,306.0372809,7294632.80859375,13608.7756994253
38,Trinity-Bellwoods,081,18585,118,115,130,136,127,117,107,125,680.6252,666.319,754.8046,778.032,715.4124,649.4948,585.6595,672.5854,13,17,21,16,18,25,13,20,74.98414,98.49934,121.93,91.53318,101.397,138.7809,71.1549,107.6137,67,55,46,69,63,110,86,49,386.4567,318.6743,267.0847,394.7368,354.8896,610.6362,470.717,263.6535,24,16,18,19,14,18,20,18,138.4323,92.70525,104.5114,108.6957,78.86436,99.92228,109.4691,96.8523,11,7,2,6,8,2,8,8,63.44812,40.55855,11.61238,34.32494,45.06535,11.10248,43.78763,43.04547,0,0,1,0,0,0,2,0,0,0,5.80619,0,0,0,10.94691,0,1,3,4,3,0,1,1,1,5.768011,17.38223,23.22476,17.16247,0,5.551238,5.473454,5.380683347,114,63,61,68,64,62,32,30,657.5532,365.0269,354.1776,389.016,360.5228,344.1768,175.1505,161.4205004,3306338.50390625,7385.37538081896
39,Victoria Village,043,19254,105,131,129,79,111,125,114,102,586.3301,730.5376,715.5139,432.7108,599.7731,666.2403,599.8422,529.7601,21,14,21,11,12,16,17,41,117.266,78.07272,116.479,60.25086,64.84033,85.27876,89.45014,212.9428,39,46,22,32,36,59,34,23,217.7798,256.5247,122.0256,175.2752,194.521,314.4654,178.9003,119.4557,8,15,12,11,13,13,11,8,44.67277,83.64935,66.55943,60.25086,70.24369,69.28899,57.87951,41.54981,5,6,4,5,3,5,5,5,27.92048,33.45974,22.18648,27.38675,16.21008,26.64961,26.30887,25.96863,0,0,1,0,0,1,0,0,0,0,5.546619,0,5.403361,5.329922,0,0,2,0,3,1,2,6,4,2,11.16819,0,16.63986,5.477351,10.80672,31.97953,21.04709,10.38745196,40,37,33,37,43,39,42,64,223.3639,206.335,183.0384,202.662,232.3445,207.867,220.9945,332.3984627,9112538.37109375,16335.4047113085
40,Waterfront Communities-The Island,077,90863,708,807,866,870,897,832,766,971,1173.429,1247.025,1246.833,1178.08,1143.316,1001.553,872.3578,1068.642,56,43,38,61,63,61,68,98,92.81358,66.44621,54.7109,82.60098,80.29979,73.43116,77.44169,107.8547,161,188,213,258,335,337,352,352,266.839,290.509,306.669,349.3615,426.9909,405.6771,400.8746,387.3964,73,50,72,72,116,92,82,86,120.9891,77.26303,103.6628,97.49624,147.8536,110.7486,93.38557,94.64799,46,47,58,52,60,75,55,51,76.23972,72.62725,83.5061,70.41396,76.47599,90.28422,62.63666,56.12846,1,1,0,2,3,1,3,1,1.657385309,1.545261,0,2.708229,1.2746,1.203789,3.416545,1.100557983,8,7,8,14,17,10,9,11,13.25908,10.81682,11.51808,18.9576,21.6682,12.0379,10.24964,12.10613781,382,316,221,256,228,261,347,229,633.1212,488.3024,318.187,346.6533,290.6087,314.1891,395.1804,252.0277781,25630448.4257813,25383.2435899862
41,West Hill,136,30106,347,395,422,412,425,445,337,327,1245.022,1410.714,1496.03,1442.678,1468.201,1518.305,1135.866,1086.162,24,18,15,32,27,46,55,74,86.11101,64.28571,53.1764,112.0527,93.27392,156.9484,185.3787,245.7982,89,66,72,87,103,77,57,71,319.3283,235.7143,255.2467,304.6432,355.8227,262.7179,192.1197,235.8334,63,64,77,66,52,73,36,43,226.0414,228.5714,272.9722,231.1086,179.6387,249.0703,121.3388,142.8287,7,6,8,10,5,4,9,4,25.11571,21.42857,28.36075,35.01646,17.27295,13.64769,30.33469,13.28639,0,2,0,0,1,2,2,0,0,7.142857,0,0,6.909179,6.823843,6.741043,0,0,1,6,3,5,8,7,5,0,3.571429,21.27056,10.50494,17.27295,27.29537,23.59365,16.60798512,59,67,64,110,78,57,129,141,211.6896,239.2857,226.886,385.181,269.458,194.4795,434.7973,468.3451804,18467612.0742188,20738.9628940641
42,West Humber-Clairville,001,37742,289,307,296,303,316,256,251,242,831.7504,888.3873,859.9901,863.6169,883.3478,702.0238,675.9486,641.1955,309,265,323,323,505,487,403,487,889.311,766.849,938.4352,920.6213,1411.679,1335.491,1085.288,1290.34,148,119,131,125,170,135,111,98,425.9483,344.3586,380.6037,356.2776,475.2188,370.2079,298.9255,259.6577,86,75,92,123,91,72,76,54,247.5105,217.0327,267.2942,350.5772,254.3818,197.4442,204.6697,143.0767,41,59,41,58,51,65,56,56,117.9992,170.7324,119.1203,165.3128,142.5656,178.2482,150.8092,148.3758,0,3,4,0,2,2,3,1,0,8.681309,11.62149,0,5.590809,5.484561,8.079067,2.64956812,5,7,12,11,16,19,7,6,14.39015,20.25639,34.86446,31.35243,44.72647,52.10333,18.85116,15.89740872,371,267,225,222,393,355,374,376,1067.749,772.6365,653.7087,632.749,1098.594,973.5096,1007.19,996.2376133,57751873.5664063,38675.6686910471
43,Westminster-Branson,035,28625,89,92,113,101,110,109,93,90,332.8969,342.6571,417.4517,369.4221,397.8156,389.9961,329.2268,314.4105,30,20,24,19,35,34,49,59,112.2125,74.49067,88.66231,69.49525,126.5777,121.6501,173.4636,206.1135,61,68,19,42,40,38,15,25,228.1653,253.2683,70.19099,153.6211,144.6602,135.9619,53.1011,87.33624,14,6,12,16,16,8,17,10,52.36581,22.3472,44.33115,58.52231,57.86409,28.62356,60.18125,34.9345,3,6,7,5,4,1,6,7,11.22125,22.3472,25.85984,18.28822,14.46602,3.577945,21.24044,24.45415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,2,0,0,11.08279,0,3.616506,3.577945,3.540074,6.986899563,79,52,44,43,63,53,70,59,295.4928,193.6757,162.5476,157.2787,227.8399,189.6311,247.8052,206.1135371,7040800.63671875,15929.496962239
44,Kennedy Park,124,18664,209,245,212,190,219,221,177,183,1185.479,1391.966,1201.405,1065.56,1214.575,1212.753,961.5907,980.4972,26,12,12,27,29,25,32,33,147.4759,68.17795,68.00408,151.4217,160.8341,137.1893,173.8469,176.811,49,36,46,50,48,41,32,35,277.9353,204.5338,260.6823,280.4105,266.2082,224.9904,173.8469,187.5268,71,64,27,56,32,25,25,28,402.7226,363.6157,153.0092,314.0598,177.4721,137.1893,135.8179,150.0214,6,2,5,4,20,6,9,3,34.0329,11.36299,28.33503,22.43284,110.9201,32.92542,48.89444,16.07372,0,0,0,0,2,1,0,2,0,0,0,0,5.546004,5.487571,0,10.71581655,3,0,2,4,4,2,1,2,17.01645,0,11.33401,22.43284,22.18402,10.97514,5.432716,10.71581655,32,48,34,75,57,68,73,64,181.5088,272.7118,192.6782,420.6158,316.1222,373.1548,396.5883,342.9061294,6860717.4296875,10530.0062292991
45,Kingsview Village-The Westway,006,23464,92,122,129,108,101,98,99,99,407.8737,540.7322,569.0591,473.4765,439.3597,423.2713,424.5647,421.9229,57,50,42,37,56,40,60,84,252.7044,221.6116,185.275,162.2096,243.6054,172.7638,257.312,357.9952,38,33,34,39,39,27,14,17,168.4696,146.2636,149.9846,170.9776,169.6537,116.6156,60.03946,72.45142,19,32,27,14,18,15,7,9,84.23479,141.8314,119.1054,61.37659,78.30172,64.78642,30.01973,38.35663,5,4,5,6,3,2,7,8,22.16705,17.72892,22.05655,26.30425,13.05029,8.638189,30.01973,34.09478,2,1,2,2,2,0,0,1,8.866820358,4.432231,8.822621,8.768085,0,0,0,4.261847937,3,7,14,9,2,3,2,6,13.30023,31.02562,61.75835,39.45638,8.700191,12.95728,8.577065,25.57108762,110,54,54,47,53,41,66,94,487.6751,239.3405,238.2108,206.05,230.5551,177.0829,283.0432,400.6137061,9694399.09765625,14459.0541289796
46,Bayview Woods-Steeles,049,14184,36,43,37,34,41,45,33,27,263.6976,317.5775,274.3586,249.7062,298.0301,323.9274,235.378,190.3553,16,7,18,21,7,21,16,29,117.1989,51.69867,133.4718,154.2303,50.88319,151.1661,114.1227,204.4557,22,34,33,38,29,21,33,10,161.1485,251.1078,244.6982,279.0834,210.8018,151.1661,235.378,70.50198,6,1,0,5,8,6,2,2,43.9496,7.385524,0,36.7215,58.15221,43.19033,14.26534,14.1004,4,1,1,3,2,2,2,2,29.29974,7.385524,7.415097,22.0329,14.53805,14.39678,14.26534,14.1004,0,0,0,0,0,1,0,0,0,0,0,0,7.269027,7.198388,0,0,0,0,1,0,3,4,1,0,0,0,7.415097,0,21.80708,28.79355,7.132668,0,23,14,15,7,29,23,33,27,168.4735,103.3973,111.2265,51.41011,210.8018,165.5629,235.378,190.3553299,7853729.24609375,11439.2719135556
47,Clanton Park,033,19229,75,64,57,56,80,86,81,93,461.1979,385.3797,335.097,321.2299,447.5274,469.8683,432.1844,483.6445,70,29,50,28,40,43,43,86,430.4514,174.6252,293.9447,160.6149,223.7637,234.9342,229.4312,447.2411,61,44,41,54,52,44,33,34,375.1076,264.9485,241.0347,309.7574,290.8928,240.3978,176.0751,176.8163,7,7,4,13,11,12,16,8,43.04514,42.1509,23.51558,74.57121,61.53502,65.56302,85.36976,41.60383,5,6,6,5,9,4,5,7,30.74652,36.12934,35.27337,28.68124,50.34683,21.85434,26.67805,36.40335,0,0,1,0,0,0,0,1,0,0,5.878895,0,0,0,0,5.200478444,1,2,0,1,0,1,3,1,6.149305,12.04311,0,5.736248,0,5.463585,16.00683,5.200478444,35,52,40,69,65,68,75,74,215.2257,313.121,235.1558,395.8011,363.616,371.5238,400.1707,384.8354049,7942113.0078125,14049.7901514591
48,Keelesdale-Eglinton West,110,12152,69,61,55,57,72,57,80,70,613.6606,539.4888,482.1178,492.7386,613.8107,479.1124,663.9004,576.0369,18,14,16,25,20,33,23,24,160.0854,123.8171,140.2525,216.1134,170.503,277.3809,190.8714,197.4984,23,20,14,13,31,18,23,27,204.5535,176.8816,122.7209,112.379,264.2796,151.2986,190.8714,222.1857,33,20,23,22,19,11,11,7,293.4899,176.8816,201.6129,190.1798,161.9778,92.46028,91.28631,57.60369,1,2,0,4,3,8,3,1,8.893632,17.68816,0,34.57815,25.57545,67.24384,24.89627,8.229098,1,0,0,1,0,1,0,3,8.893632159,0,0,8.644537,8.525149,8.40548,0,24.68729427,2,6,2,3,5,0,3,2,17.78726,53.06447,17.53156,25.93361,42.62575,0,24.89627,16.45819618,18,17,11,21,21,28,31,34,160.0854,150.3493,96.42356,181.5353,179.0281,235.3535,257.2614,279.7893351,3350540.78515625,7840.21608502677
49,O'Connor-Parkview,054,20367,185,167,134,133,134,143,119,122,968.2316,872.4271,696.2486,683.2426,680.3066,717.2593,590.3949,599.0082,22,12,7,10,20,28,21,43,115.141,62.68937,36.37119,51.37162,101.5383,140.4424,104.1873,211.1258,53,30,34,39,26,56,25,39,277.3853,156.7234,176.6601,200.3493,131.9998,280.8848,124.0325,191.4862,30,16,28,22,10,14,20,12,157.0105,83.58583,145.4848,113.0176,50.76915,70.2212,99.22604,58.91884,11,6,6,2,6,7,10,2,57.57052,31.34469,31.17531,10.27432,30.46149,35.1106,49.61302,9.819806,1,0,1,2,0,0,0,1,5.23368399,0,5.195885,10.27432,0,0,0,4.909903275,6,3,5,5,6,5,4,4,31.4021,15.67234,25.97942,25.68581,30.46149,25.079,19.84521,19.6396131,61,89,84,31,79,50,78,66,319.2547,464.9462,436.4543,159.252,401.0763,250.79,386.9815,324.0536161,9338638.9453125,15115.9184065626
50,Old East York,058,9869,55,54,48,45,62,50,30,40,581.1496,570.1014,505.1568,469.3856,641.5563,512.9257,305.5923,405.3096,3,5,6,0,9,4,8,19,31.69907,52.78716,63.1446,0,93.12914,41.03406,81.49129,192.522,21,11,26,17,28,13,15,6,221.8935,116.1318,273.6266,177.3235,289.7351,133.3607,152.7962,60.79643,17,7,10,6,7,12,5,8,179.6281,73.90202,105.241,62.58475,72.43378,123.1022,50.93206,81.06191,4,3,2,2,0,3,4,5,42.26543,31.6723,21.0482,20.86158,0,30.77554,40.74564,50.6637,0,0,1,0,1,0,0,0,0,0,10.5241,0,0,0,0,0,0,1,1,1,1,0,1,0,0,10.55743,10.5241,10.43079,10.34768,0,10.18641,0,36,34,18,21,21,35,28,21,380.3889,358.9527,189.4338,219.0466,217.3013,359.048,285.2195,212.7875165,4498447.05859375,10351.0044597929
51,Casa Loma,096,12600,26,35,43,34,44,55,61,46,233.9392,312.7793,380.531,294.5253,372.3449,455.6375,494.5679,365.0794,4,3,5,8,18,5,20,20,35.99064,26.80965,44.24779,69.30007,152.3229,41.42159,162.1534,158.7302,32,24,19,27,23,34,36,35,287.9251,214.4772,168.1416,233.8877,194.6348,281.6668,291.8761,277.7778,8,5,1,10,6,8,3,1,71.98129,44.68275,8.849558,86.62508,50.77431,66.27454,24.32301,7.936508,4,5,7,7,2,2,6,4,35.99064,44.68275,61.9469,60.63756,16.92477,16.56864,48.64602,31.74603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,23,16,22,31,29,8,206.9462,223.4138,203.5398,138.6001,186.1725,256.8138,235.1224,63.49206349,3678712.8671875,8214.52944922421
